Weight,Activity,Age,Height,Income,Sex
69.1,,61,151.7,1.7,Female
87.7,,80,173.5,3.14,Male
105.3,,45,170.9,0.31,Female
69.8,,20,165.1,,Female
54.4,,29,163.5,,Female
15.1,3,2,95.4,3.92,Female
54.4,0,12,141.2,,Female
102,,73,168.7,5,Female
17.5,7,5,110,2.06,Female
69.1,,65,158.9,0.41,Male
61.9,5,13,162.1,1.76,Female
84.3,,36,160.6,5,Female
90,,80,173.9,2.18,Male
59.1,,46,159.2,3.25,Female
23,5,10,126,2.24,Female
34.7,0,7,120.7,1.86,Female
102.5,,33,164.9,3.23,Female
65.4,,31,182.3,4.06,Male
52.7,,16,157,5,Female
78.7,,33,160.1,3.06,Male
99.3,,33,165,1.06,Male
65.7,,38,169,2.56,Female
74.6,,69,157.2,0.88,Male
57.5,7,11,153.5,3.07,Female
58.3,5,15,156.1,3.22,Female
49.5,,42,152.2,3.38,Female
83.4,,54,178.9,5,Male
96.9,,46,176.5,1.07,Male
76.2,,18,168.6,3.54,Female
79.9,,53,173.4,3.6,Male
,,55,,1.88,Female
18.2,6,4,106.3,0.62,Male
61.6,,30,158.6,2.5,Female
68.1,,28,163.2,0.99,Female
95.9,,54,166.5,1.29,Female
62.7,,29,150,1.76,Female
102.4,,59,163.5,0.94,Female
37.2,6,9,146.5,2.18,Female
74.3,,80,166.6,,Male
62,,61,156.3,,Female
77.3,,55,176.3,1.76,Female
50.6,,62,163.1,1.53,Male
34.3,1,8,131.8,,Female
14.1,7,3,95.2,0.05,Male
94.8,,48,167.3,0.91,Female
57,,80,165.6,2.57,Female
39.9,4,8,132.8,3.52,Male
80,,48,175.6,5,Male
19.2,7,5,114.2,5,Male
100.4,,25,182,3.82,Male
29.1,7,3,117.1,,Male
96.4,,16,165.8,,Female
85.4,,53,180.4,5,Male
105.4,,31,173.1,1.24,Male
104.9,,47,167.7,2.49,Female
21,7,3,106.3,1.11,Female
148.2,,32,156.2,0.25,Female
83.6,,39,171.7,1.77,Male
,,80,,0.61,Female
81.7,,63,169.3,5,Male
,7,9,,,Female
,3,9,,0.69,Female
58.4,,25,161,1.74,Female
49.2,,60,158,0.13,Female
90.2,,38,176.8,0.92,Male
99.4,,57,156.5,0.02,Female
11.6,,1,,1.75,Male
77.7,,77,150,0.79,Female
38.2,,13,144.3,2.3,Female
75.6,,80,165.6,1.88,Male
55.9,,23,166.1,1.7,Female
88.7,,70,171.3,1.38,Female
22.5,7,6,121.2,2.81,Male
72,,15,166.7,2.06,Female
9.9,,1,,0.61,Male
63.2,,50,172.8,3.36,Male
49.1,0,13,168.3,3.79,Female
,,45,,5,Male
39.1,7,10,146.5,0.2,Male
11.8,6,2,90.9,1.58,Female
131.1,,34,177.3,2.62,Male
96.4,,80,168.3,1.88,Male
64.7,,45,165.5,0.99,Female
81.5,,57,162.8,0.65,Female
19.5,7,4,111.6,1.07,Male
86.4,,73,166.7,2.08,Female
63.1,,62,154,1.32,Female
75.9,,62,178.5,4.92,Male
75.4,,80,157,,Female
81.3,,47,155.6,0.43,Female
56.5,,33,172.9,,Male
70.7,,78,156.7,1.88,Female
46,7,7,139.8,,Female
92.7,,24,170.6,0.31,Female
19.4,7,5,113.9,3.4,Female
18.4,7,5,109.5,0.17,Male
53.5,,16,167.4,3.52,Male
14.7,0,2,89.7,,Male
43.3,7,12,157,5,Male
54.5,,74,147.4,0.18,Female
40,7,10,145.2,0.21,Female
24.8,5,8,128.6,4.12,Female
80.5,,80,154.7,0.28,Female
65.5,,43,166.8,2.7,Female
97.9,,26,161.2,2.99,Female
103.7,,24,166.9,5,Male
105.8,,31,163.6,5,Female
18.1,3,3,100,3.14,Male
31.3,7,11,138.1,4.36,Male
,,57,,,Male
9.6,,0,,0.75,Male
,,55,,,Female
85.4,,57,165.7,1.06,Female
53.6,7,9,140.2,0.93,Female
,7,6,,,Male
71,,55,152.5,,Female
42.5,,22,158.8,,Female
82,,73,164,2.18,Female
43.3,1,11,141.5,4.93,Male
62.9,,20,175.2,5,Male
83,,68,164,1.76,Male
98.5,,65,147,2.08,Female
56.1,,22,150.8,0.89,Male
76.4,,35,168.8,1.05,Female
101.2,,80,174.1,,Male
78.4,,26,168.5,2.69,Male
58.9,,51,150.7,1.58,Female
41.4,5,11,156.7,,Female
73.9,,46,159.1,1.05,Male
117.3,,18,178,0.03,Male
53.3,,60,153.9,,Female
53.8,,18,159.3,0.91,Female
77.6,,17,158.2,5,Female
19.8,7,7,119.3,5,Female
70.5,,29,155.2,1,Female
79.1,,60,165.3,2.18,Female
53.6,,16,171.7,0.92,Male
57.9,,40,162.6,2,Female
63.7,5,10,153.2,1.67,Male
,,1,,1.22,Male
84,,40,180.5,2.98,Male
81.4,,35,158,1.7,Female
121.2,,50,167.6,5,Female
52.9,,41,160.7,0,Male
74.2,,59,161.1,5,Female
84.7,,26,187.4,1.22,Male
50.5,1,9,136.1,0.17,Female
9.5,,1,,3.5,Female
33.4,7,8,145.2,5,Female
25.3,7,8,135.9,2.47,Female
26.7,6,6,128.1,0.95,Male
6.5,,0,,0.13,Male
66.7,,22,146.4,0.2,Female
75,7,15,168.1,1.84,Male
,,80,,5,Female
82.8,,18,148.7,0.77,Female
109.4,,58,179,5,Male
49,5,10,147.7,2.67,Male
53.3,7,11,166.8,5,Male
61.9,,80,150.4,0.63,Female
78.2,0,12,161,2.84,Female
,,80,,1.51,Male
77,,63,173.4,0.92,Male
82,,55,159.2,0.93,Female
103.8,,80,166.8,0.38,Male
49.3,,25,150.2,1.07,Female
92.1,,39,161.4,1.37,Female
68.7,,24,157.5,1.41,Female
65.5,,29,168.2,2.81,Female
79,,60,171.3,0.1,Male
105.2,,69,152.7,,Female
55.7,3,12,152.1,0.16,Female
100.5,,75,177.6,5,Male
48.5,,18,154,2.06,Female
20.2,7,5,114.2,1.62,Female
10.9,,1,,0,Female
58,,34,164.5,0.05,Female
80.5,,23,176.4,3.11,Male
135.8,,72,179.6,1.98,Male
76.4,,60,169.5,,Male
149.4,,62,159.2,2.09,Female
50.5,4,11,147.5,1.91,Male
81.2,,55,161.2,0.67,Male
44.5,,80,149.4,,Female
42.8,7,10,138.6,0.6,Female
16.5,7,3,95.3,,Female
72.6,,31,161.5,1.17,Male
66.4,,54,174.1,5,Male
46,7,7,141.4,3.75,Female
56.7,0,14,155.2,0.3,Female
10.3,,0,,0.82,Female
79.3,,54,168.7,0.84,Male
74.7,,35,166.5,5,Male
69.5,,71,173.3,5,Male
89.8,,49,163.2,4.94,Female
88.7,,53,174.3,3.45,Male
100.7,,31,164,2.29,Female
32.4,5,7,124,1.54,Female
147.5,,37,164.2,1.65,Male
24,7,7,126.9,,Female
87.9,,49,156,0.95,Female
65.1,,75,156.5,5,Female
77.7,,62,160.6,2.1,Female
63.7,,37,163.5,4.38,Male
132.3,,50,179.3,0.43,Male
90.2,,76,158.3,3.4,Female
130.5,,58,189.9,0.08,Male
29.4,7,9,132.5,1.65,Male
74.5,,42,158.8,4.95,Female
71,,68,157.9,1.19,Male
69.3,,53,159.1,5,Female
96.6,,48,172.2,0.8,Male
121.3,,52,182.7,5,Male
44.5,5,14,159.1,,Male
25.4,0,8,117.9,1.55,Female
6.6,,0,,1.44,Female
65.5,,39,157.1,4.22,Female
73.9,,15,166.5,3.3,Female
21.2,3,5,116.1,3.33,Male
64.2,7,11,156.1,1.52,Male
36.6,7,10,146,0.92,Male
70.7,,76,164.4,,Female
20,7,5,110,2.31,Female
81.6,,42,178.7,1.27,Male
13.6,7,2,89.4,0.6,Male
65.1,5,15,168.2,1.98,Male
,7,3,,1.49,Female
60.5,,78,153.7,5,Female
88,,37,160.2,0.5,Female
45.6,3,9,140.2,2.39,Male
73.6,,72,170.1,0.47,Male
49.5,7,13,169.2,1.69,Female
19.2,7,6,115,2.6,Male
48.7,7,13,172.8,3.29,Male
64.2,4,15,159.3,5,Female
22.5,7,5,110.3,0.33,Male
9.8,,1,,0.21,Female
50,,45,156.6,2.88,Male
96.6,,38,179.3,2.11,Male
86.6,,36,172.6,0.87,Female
104.6,,27,172.6,2.85,Male
77.1,,28,150.9,1.28,Female
46.6,5,11,147.3,0.31,Male
56.5,,35,154.1,2.46,Female
54.8,,62,152.1,1.07,Female
61.3,,53,175,,Male
62.8,,19,175.8,0.42,Male
4.7,,0,,0.85,Female
78.7,,80,171.5,1.56,Male
102.3,,80,174.7,1.33,Male
61.9,,80,165.7,2.55,Male
11.5,7,2,85.2,1.1,Female
7.3,,0,,3.53,Female
129.4,,21,173.2,1.47,Female
70.7,,16,171.6,1.76,Male
6.7,,0,,,Male
32.7,7,8,135.6,0.56,Female
61.8,,44,163.5,5,Female
12.6,,1,,1.15,Male
73.6,,21,161.3,0.84,Female
104.6,,51,168.6,0.2,Female
70.6,,40,171.9,,Male
103.9,,57,169.6,5,Male
30.6,3,11,141.4,3.09,Male
81.3,,80,178.1,1.32,Male
55.7,1,15,162.6,1.41,Female
17.2,7,5,103.2,0.56,Female
21.2,5,7,115.4,0.84,Female
87.8,,23,162,1.22,Male
119.6,,25,156,0.13,Female
51.4,,75,129.7,5,Female
13.6,5,2,89.4,2.06,Male
105.8,,39,175,0.74,Male
42.2,7,10,147.9,5,Male
68.3,,66,168.9,4.11,Male
11.8,7,2,85.2,0.45,Female
43.7,,80,162.2,0.82,Male
80,,78,171.5,2.98,Male
58.8,0,15,168.8,,Male
53,,72,158,1.44,Male
87,,30,170.5,1.69,Female
,7,7,,4.12,Female
20.7,5,8,123.1,3.09,Female
58.5,,67,158.1,2.49,Male
20.8,4,7,123,2.29,Female
83.7,,50,160.1,4.12,Female
16.7,7,2,95.5,0.38,Male
107.8,,59,195.1,5,Male
142.8,,44,180,0.51,Male
82,,51,172,4.46,Male
121,,51,168.3,5,Female
64.1,,22,157.4,0.75,Female
38.4,0,14,151.5,1.23,Female
5.8,,0,,1.98,Female
56.4,,77,161.1,,Male
75.6,,63,163.8,2.47,Male
92.3,,45,171.8,2.12,Male
82.7,,36,157.2,5,Female
90.6,,64,167.1,,Male
47.3,4,10,152.3,5,Female
47.8,,36,153.3,3.72,Female
37.6,4,8,131.5,2.15,Female
59,,44,153.8,5,Female
52,,50,161.5,0.75,Female
110.9,,37,167.3,0.6,Female
97.8,,31,161.7,1.89,Female
20.1,3,3,107.4,,Male
,,66,,5,Male
66.4,1,14,178.2,5,Male
60.9,,16,176.6,4.93,Male
31,2,9,139.2,1.75,Male
55.3,,23,154.3,1.36,Female
87.9,,79,144.7,,Female
14,7,2,90.6,0.06,Male
46.2,4,13,161.3,4.95,Female
28.8,7,8,137.8,0.21,Male
71.1,,30,160,4.38,Female
90.9,,62,150.3,0.82,Female
69,,76,158.9,0.87,Male
10.7,,0,,3.52,Female
62.6,,18,169.7,,Female
59,,80,157.8,1.44,Female
8.7,,1,,3.82,Male
56,,21,168.6,5,Female
63.8,,65,158.8,2.7,Male
43.1,7,9,139.9,0.02,Male
88.3,,46,166.7,0.98,Female
71.7,,22,171.6,4.03,Male
13.6,7,2,90.5,4.22,Female
89.4,,69,158.9,,Female
13.8,7,2,,1.55,Female
120.6,,43,201,3.42,Male
14,,1,,0.07,Male
9.3,,0,,3.68,Male
98.5,,31,167.9,,Female
,,20,,,Male
38.8,,17,145.5,1.04,Female
63.5,,44,150.7,0.74,Female
67.7,,80,151,3.23,Female
60,,68,147.7,2.75,Female
56.4,,52,158.7,0.6,Female
17.6,7,5,99,1.07,Male
94.4,,73,154.7,5,Female
70.3,,19,171.9,,Male
,,60,,0.98,Male
18.8,7,5,110,0.92,Female
13.5,7,2,88.4,0.63,Male
14.6,5,3,105.8,1.93,Male
12.7,7,2,88.1,5,Female
118.4,,64,172.9,4.27,Male
,,24,,4.7,Male
79.9,,30,180.1,1.55,Male
,1,2,,,Female
46.9,,12,154.1,,Female
126.9,,36,172.8,1.1,Female
66.1,,16,159.7,,Female
56.7,,59,176.3,4.06,Male
,,26,,1.76,Female
95.7,,44,171.3,1.91,Male
79.7,,61,162.4,0.78,Male
88.2,,71,173.6,4.37,Male
94.8,,25,157.3,1.41,Male
77.8,,26,173.8,1.64,Male
65.9,,71,159.6,,Female
104,,39,168.7,5,Female
65.3,,50,166.9,2.12,Male
72.2,,57,158.2,0.92,Female
81.9,1,14,163,0.68,Male
71.2,,21,150.2,,Female
67.2,,68,165,1.47,Male
67.9,,32,177.7,1.7,Male
17.6,7,3,99.4,1.5,Male
63.5,,37,163.1,1.76,Female
56,,17,169.1,0.6,Male
61,,58,147.4,0.51,Female
37.3,7,11,139.6,1.44,Female
69.6,,19,161.5,0.5,Female
18.5,7,4,105.7,4.96,Male
85.9,,43,155.4,2.2,Female
55.6,1,12,151.9,2.46,Male
55,,17,160.3,0.1,Female
60.3,,80,147.2,1.56,Female
63.6,6,12,173.3,5,Male
76.7,,19,185.2,5,Female
78.9,,43,157,0.56,Male
61,,18,169.1,0.04,Male
97.5,,64,168.4,3.75,Male
29.3,7,9,139.3,1.94,Female
73.2,,46,160.1,,Female
10.7,,0,,5,Male
71.1,,69,174.2,4.99,Male
25.9,6,8,128.8,3.17,Male
65.3,,69,167.9,,Male
,,44,,2.46,Male
15.2,7,3,97.6,0.35,Male
64.8,,25,180.8,0.65,Male
65.3,,37,168.1,1.06,Female
198.9,,35,183.9,4.18,Male
7.7,,0,,2.64,Male
85.8,,33,172.5,1.09,Male
92.4,,31,170.6,2.81,Female
86.6,,52,151.2,2.58,Female
92.4,,60,169.2,1.68,Male
17.2,5,5,112.1,4.22,Male
85.3,,24,168.7,1.65,Male
15.6,7,4,103,4.36,Male
21.5,1,8,120.9,3.07,Female
90.5,,58,180.1,5,Male
61.3,,64,175.4,5,Male
147,,66,178.9,5,Male
58.7,,40,163.4,2.01,Female
43.6,,80,145.4,0.31,Female
61.3,,46,162.4,3.99,Female
105.2,,23,171.3,3.12,Male
64.8,0,11,151.2,1.67,Female
56.9,4,10,138.6,1.87,Female
47.7,,40,148.7,0.85,Female
69.8,,65,163.5,1.52,Male
126.7,,30,173.2,2.98,Male
95.1,,27,178.3,1.08,Male
23.2,4,3,102,,Male
49.5,1,12,158.7,0.59,Female
62.1,7,11,148.1,2.27,Female
86.9,,47,179,5,Male
109.7,,59,187.2,1.51,Male
125.7,,65,184.2,5,Male
6.5,,0,,1.53,Male
93.1,,70,178.4,2.19,Male
96.5,,52,164.2,5,Female
12,7,2,90.7,0.78,Female
88.2,,28,152.6,2.15,Female
35.8,7,7,139.8,0.27,Female
93.6,,65,174.9,2.79,Male
39,5,10,144.5,4.94,Male
109.3,,42,172,4.08,Female
69.3,,53,171.1,0.75,Male
99.9,,28,169.3,4.37,Male
52.2,5,13,157.2,3.27,Female
,,38,,0.84,Male
49.6,0,12,160.3,5,Male
28.6,7,7,126.6,5,Female
76.7,,69,169.7,1.26,Male
72.7,,25,175.4,,Male
78.6,,27,192.1,1.73,Male
60.7,,25,160.5,1.26,Female
90.9,,23,178.9,,Male
11.7,,1,,,Male
,,53,,5,Female
93,,80,182.5,1.61,Male
,2,2,,1.16,Female
71.4,,50,158.2,5,Female
103.6,,30,169.8,3.4,Female
12,,1,,,Male
83.9,,33,173.1,0,Male
71.6,,52,150.8,2.7,Female
97.5,,28,168.1,1.73,Female
14.7,1,3,95.4,2.22,Male
58.1,,38,162.9,3.52,Female
125.4,,55,179.2,,Male
50.4,7,13,160.9,,Female
50.7,5,13,171.9,1.42,Male
68.3,,39,162.3,0.01,Male
71.3,,34,155.4,1.24,Female
53.5,1,12,163.8,,Male
106.6,,58,172,1.69,Male
161.4,,48,182.5,0.76,Male
41.1,1,6,129.1,2.23,Female
,,55,,5,Male
92.5,,51,181.7,5,Male
54.8,6,12,166.3,1.89,Male
83.9,,41,163.8,4.96,Female
82.8,,68,164.8,1.02,Female
70.3,,80,156.6,1.47,Female
69.1,,23,165.8,1.52,Female
,,35,,4.53,Male
12,7,2,89.8,0.82,Female
78.8,,24,153.1,0.33,Female
99.1,,62,151.7,1.69,Female
21.8,7,6,117.7,2.29,Female
27.8,7,7,122,0.49,Male
90.1,,18,177.7,0.38,Male
64.2,,40,172.6,4.23,Female
77.2,,39,160.8,0.68,Male
80.5,,46,169.7,0.89,Female
76.8,,59,177.1,0.75,Male
105.3,,59,171.7,3.01,Female
41.3,6,12,145.6,1.49,Male
9.8,,0,,1,Female
96.9,,80,174,1.14,Male
,,45,,1.61,Female
55.6,,80,155,4.12,Male
15.3,2,2,96.2,,Male
80.9,,16,177.4,2.14,Male
144.2,,32,163.4,0.17,Female
73.2,,78,153.3,0.61,Female
21,6,5,117.8,3.59,Female
79,,59,165.3,2.24,Male
,7,3,,5,Male
67.9,,16,167.5,5,Male
71,,54,179.6,1.15,Male
,,71,172.4,0.08,Male
90.4,,67,176,5,Male
151.5,,26,178.8,3.7,Male
76.6,3,14,163.6,1.24,Female
82,,17,181.4,3.3,Female
71.4,,62,161.6,0.42,Male
71.9,,70,157.7,2.53,Male
85.7,,40,168.4,1.49,Male
96.1,,69,174.4,2.5,Male
62.1,,68,149.6,,Female
53.5,,18,158,2.19,Female
56.8,,63,150.6,2.18,Female
69.7,,37,171,1.49,Male
62,,76,149.8,0.81,Male
61.1,,25,155.2,0.94,Female
140,,25,191.8,1.58,Male
87.5,,17,178.9,1.12,Female
64.7,3,11,142.3,2.12,Male
135.9,,62,173.8,4.61,Male
79.6,,62,144.2,2.64,Female
71.1,,43,166.1,,Male
166.3,,24,169.9,1.83,Male
7.7,,0,,,Male
97.3,,23,179.1,4.61,Male
49.5,7,11,143.7,1.23,Female
48.6,,44,156.4,1.47,Female
10.3,,0,,1.37,Male
,,44,,,Male
12.2,,1,,0.7,Male
68,,63,168.8,1.91,Male
92.7,,37,165.4,3.09,Female
51.9,,53,158.2,5,Female
21.8,7,6,118.7,0.92,Male
97.5,,30,158.9,0.18,Female
31.2,5,10,141.9,2,Female
75.4,,55,164.8,5,Male
97.8,,80,174.2,,Male
9.8,,0,,2.89,Male
92.3,3,10,150.9,1.76,Female
59,,75,146.1,0.81,Female
66.8,,67,154.7,,Female
99.4,,42,161.4,0.21,Female
58.8,,40,155.1,1.77,Female
94.6,,71,174.1,1.26,Male
5.2,,0,,3.13,Male
65,,49,168.1,,Male
19.6,0,5,106.7,,Female
83.5,,59,157.4,0.63,Female
5.7,,0,,1.84,Male
102.6,,59,157.4,0.46,Female
77.8,,79,156.7,1.31,Female
93.6,,30,156.1,1.36,Female
,4,2,,,Female
84.3,,17,180.1,,Male
58.1,,33,174.2,3.75,Male
25.6,5,8,122,1.07,Female
59.4,,64,159.8,4.06,Male
86.5,,65,173.7,,Male
28.3,7,11,120.4,2.26,Female
86.4,,50,172.4,1.77,Male
36.9,3,11,146.4,5,Female
123.4,,62,168.9,1.69,Female
71,,44,174.1,1.19,Male
100.3,,62,168.7,0.94,Male
50.3,,34,156.2,5,Female
,7,2,,1.69,Male
47.4,,40,144.1,,Female
,7,10,,,Male
49.1,2,12,156.9,5,Female
24.6,5,8,127.9,1.25,Male
15,7,3,97.7,3.51,Male
94.3,,41,173.2,2.48,Male
56.3,,32,159.5,1.06,Female
89,,17,181.2,2.74,Male
72.6,,78,161.8,1.4,Male
66.8,,29,163.4,,Male
67,,69,162.5,0.28,Male
73.4,,35,172.9,4.37,Male
39.6,7,7,130.3,0.75,Male
13.5,7,3,92.9,0.63,Female
59,,45,169.5,5,Female
53.7,,50,176.9,,Male
38.6,5,11,151.8,1.82,Female
12.4,2,2,,4.33,Male
83.4,,57,176.5,3.14,Male
95,,77,173.3,,Female
65.9,,54,157.7,1.49,Male
40.4,7,8,129,1.58,Female
65.9,,25,172.8,1.32,Male
108.3,,65,170.7,0.89,Male
118.9,,53,153.6,,Female
149.8,,47,180.3,5,Male
106.5,,63,174.6,0.71,Male
11.5,,1,,1.49,Female
14.7,7,2,91.7,3.8,Male
12.1,,1,,2.3,Female
63.9,,35,160.8,1.32,Female
93.9,,80,168.2,2.98,Female
63.3,,18,154.3,0.45,Male
68.2,,28,173.4,1.65,Male
77.8,,61,168,0.94,Female
72.4,,78,170.6,,Male
35.9,4,7,135.7,4.98,Male
53.9,,60,162.2,,Female
20,2,6,117.5,0,Male
47.3,,40,153.5,5,Female
25.1,2,7,123.5,5,Male
41.8,7,11,156.5,2.46,Male
65.9,,19,171.1,2.31,Male
12.1,,1,,0.84,Male
37.3,5,9,139.4,1.39,Male
75,,19,180.9,0.55,Male
69.8,1,14,174.2,1.84,Male
39.5,,12,152.3,1.86,Female
25.9,7,7,127.3,1.52,Male
76.3,,18,177.5,0.26,Male
73.3,,80,171.3,,Male
122.3,,77,162.7,0.97,Female
96.4,,43,165.3,1.32,Male
44.9,2,14,165.4,2.29,Female
70.8,,28,157.5,1.86,Female
91.7,,52,180.5,,Male
,,40,155.2,5,Female
48.4,7,8,144.8,1.14,Male
34.3,7,9,136.3,1.44,Female
,,18,,2.29,Female
39.9,,23,155.1,0.95,Female
10.5,,1,,1.16,Male
58.4,,64,169.2,1.63,Male
96.8,,49,170,3.17,Female
17.1,7,4,104.7,1.36,Male
55.8,,60,159.4,0.83,Female
11.1,,1,,,Female
28.4,7,9,126.8,2.33,Male
117.3,,29,186.4,4.28,Male
,,80,,0.85,Female
92.7,,45,178.1,5,Male
112,,16,170.5,,Female
87.3,,71,168.7,0.92,Male
82.6,,35,151.5,0.05,Female
50.9,,16,164.3,4.63,Female
39.4,1,11,149.7,0.85,Female
54.9,,19,173.6,5,Male
47.9,7,10,151.8,1.19,Male
59,,36,156.8,1.73,Female
95,,30,175.7,1.47,Male
137.5,,30,169.1,1.1,Female
11.5,3,2,85,,Female
35.7,7,10,144,5,Male
80.8,,31,156.9,0.92,Female
78.9,,64,178.1,1,Male
43.8,7,8,144.1,0.92,Male
58.2,5,12,152.9,,Male
75.1,,59,178.8,5,Male
95.5,,36,159.8,2.29,Female
50.2,3,13,156.5,4.95,Female
72.1,,64,151.3,2.5,Female
29.4,7,8,129,0.82,Male
69.6,,72,156.2,0.81,Male
80,,33,176.7,0.91,Male
71.4,,19,172.4,5,Male
90.8,,60,172.7,,Male
52.6,,16,158.7,2.09,Female
25.3,7,7,122,1.73,Male
70.6,,52,173.5,5,Male
12,,1,,1.79,Female
17.6,6,4,106.2,4.12,Male
18.6,4,6,107.8,2.47,Male
77.4,,70,170.8,2.82,Male
32,7,14,153.1,3.16,Male
57.7,,80,159.9,3.87,Female
64.7,,42,150.1,0,Female
9.2,,0,,2.64,Female
66.4,,37,171.9,2.81,Male
80.1,,71,151,0.78,Female
61.2,,70,165.3,0.15,Male
13.5,7,2,94.7,,Male
75.1,,26,166.7,2.81,Female
20.9,7,8,122.1,1.86,Male
7,,0,,0.63,Female
17.9,7,3,105.5,0.18,Female
78.2,,57,165,1.24,Male
92.4,,44,163.8,5,Female
,,36,,5,Female
39.5,7,11,147,0.49,Male
94.6,,23,153,3.52,Female
83.4,,32,164,1.84,Male
23.5,7,5,115.1,2.82,Female
74.5,,39,160.7,,Male
14.2,,1,,4.28,Female
20,7,6,117.5,3.16,Female
,,55,,,Male
147.6,,58,173.5,0.55,Male
35.9,5,10,132.4,0.92,Male
58.9,2,14,164.2,1.41,Female
50.9,7,9,143.9,0.58,Male
12.2,,1,,4,Female
,5,7,,1.85,Male
32.8,7,9,128.2,,Female
145.3,,39,159.4,1.03,Female
69.2,,54,168.7,5,Male
15.8,1,4,99.4,2.27,Female
68.3,,20,162.1,3.92,Female
77.4,,79,164.7,,Male
48.6,3,6,137.4,3.34,Male
8.3,,0,,1,Male
16.7,7,2,93.8,0.24,Male
66.2,,24,151.8,5,Female
53.1,,48,158,1.24,Male
32.5,7,9,125,3.05,Female
10.4,,1,,5,Female
36.1,7,8,124.1,1.23,Male
48.6,,22,163.8,2.6,Female
20.2,7,7,116.1,5,Female
91.1,,25,184.8,0.35,Male
76.1,,73,178.1,1.77,Male
69.2,,66,150.1,0.62,Female
111.7,4,15,174.9,1.03,Male
19.6,6,4,112.6,1.23,Male
74.7,,66,161.2,1.11,Male
61.4,,38,155.8,4.94,Female
94.4,,40,180,5,Male
80.1,,79,175.4,2.25,Male
75.5,,63,158.9,0.51,Female
50.1,5,10,144.8,5,Female
89.2,,51,178.9,0.02,Male
97.7,,41,162.2,2.74,Female
106,,51,184.6,3.92,Male
22.7,7,6,123.7,0.61,Male
78.4,,26,178.7,0.98,Male
68.1,,52,157,1.02,Male
86.2,,58,168.9,0.34,Male
104,,24,169.2,1.21,Male
69.1,,47,164.8,0.16,Female
23.7,7,6,121.9,0.58,Female
36.9,2,10,145.6,1.09,Male
,0,11,,1.65,Male
26.4,5,7,127.9,1.73,Female
92.7,,45,171.8,1.54,Male
42.4,7,8,137.9,0.83,Female
9.8,,0,,5,Male
75.9,,40,182.3,5,Male
69.8,,80,154.2,1.21,Female
65.5,,22,178.6,0.77,Male
14.8,4,2,89.3,2.97,Female
57.2,,54,150,2.47,Female
,,80,,1.01,Male
,,61,,,Female
11,,1,,1.36,Male
108.2,,26,173.3,4.39,Female
102,,33,174.6,0.55,Male
19.4,7,2,96.5,1.92,Male
65,,41,156.7,5,Female
80.4,,48,159.5,3.92,Male
111.6,,38,168.2,0.88,Male
83.6,,25,180.7,2.46,Male
14.2,7,4,95.2,0.6,Female
74.3,,77,169.9,2.98,Male
71.8,6,9,152.4,2.36,Male
65.9,2,12,153.3,0.34,Female
58.6,,74,153.6,,Female
41.8,5,13,155.6,4.12,Male
90.3,,51,156.3,1.77,Female
37.3,5,9,138.3,3.52,Female
96.7,,27,179.9,0.42,Male
14.7,7,4,99.1,4.12,Female
53.6,,33,165.5,5,Female
70.2,,31,159.6,5,Female
16,7,5,102.9,4.61,Female
67.3,,80,167.4,1.35,Male
17.4,7,5,111.8,1.69,Male
62.1,,69,168.2,,Female
92.6,,52,174.7,1.67,Male
89.3,,52,166.4,3.93,Male
,,46,,5,Male
48.4,,80,145.4,2.75,Female
101.6,,59,168.4,3.3,Male
68.4,,30,155.7,0.62,Female
90.4,,29,180.9,5,Male
,,14,,5,Female
16,3,4,105.9,,Female
64.8,,17,181.4,2.51,Male
33.7,7,9,135.8,5,Male
70,,35,169.5,0.85,Male
70.4,,64,163.5,4.39,Male
61,,45,159.5,,Female
84.8,,50,175.7,,Male
111.9,7,13,162,,Female
10.5,,0,,0.3,Female
25.9,1,5,112.4,0.17,Female
43.6,7,7,129.1,0.68,Male
53.5,,30,158.8,2.88,Male
26.3,5,8,129.5,0,Male
89.7,,77,184.5,3.92,Male
68.8,,80,153.6,,Female
12.6,,1,,0.93,Female
65.1,,80,169,1.77,Female
35.7,0,10,133.6,0.92,Female
18.4,7,6,109.9,5,Male
74.3,,74,156.6,2.61,Female
52.4,3,11,157.5,1.73,Female
13.9,7,2,89.3,0.1,Male
63.8,,17,170.9,0.63,Male
56,,36,162.3,5,Female
65.3,,22,164.2,0.64,Female
56.9,,25,154.4,3.65,Female
51.1,1,13,147.1,,Female
23.6,7,6,113.7,0.18,Female
26.1,2,6,121.9,2.46,Male
86.9,,80,163.4,0.42,Male
89.7,,80,169.6,4.25,Female
61.8,,51,151.7,4.99,Female
122.2,,25,164.4,2.72,Female
90.7,,41,178,3.73,Male
103.9,,20,167,3.83,Male
100.3,,24,177.6,4.46,Male
62.9,,42,160.8,5,Female
86.8,7,11,155.5,0.92,Female
94.9,,47,182.3,1.64,Male
9.6,,0,,2.39,Male
15.6,7,3,96.4,5,Female
56.7,,29,169.8,0.37,Female
65.8,,16,163.2,0.25,Female
62,7,15,180.6,2.74,Male
60.2,,54,161.4,2.55,Male
61.3,,27,171.4,1.24,Female
94.2,,66,168.2,2.5,Male
137.8,,34,177.8,1.49,Male
34.5,4,7,125.8,2.08,Female
75.2,,34,184.7,1.68,Male
105,,26,180.4,0.61,Male
62.8,,76,163.3,1.82,Male
