Weight,Activity,Age,Height,Income,Sex
85.7,,68,156,0.35,Female
62.1,7,10,159.3,2.46,Female
9.5,,1,,0.66,Male
11,,1,,1.86,Female
93.8,,48,162.4,2.5,Female
57.9,,74,154.1,3.82,Female
77.8,,66,170.5,3.43,Male
,,66,,4.06,Female
55.4,,62,154,,Female
55.3,7,10,152.7,0.24,Female
71.6,,17,176.6,1.1,Male
78.7,,37,174,2.08,Male
65.7,,80,156.3,3.14,Female
90.8,,31,164.6,1.32,Female
49.7,,27,170.2,0.86,Female
55.7,,44,154.4,1.86,Female
56.8,1,12,155.5,5,Male
56.4,,75,152.3,1.76,Female
82.5,,45,173.3,3.55,Male
7.4,,0,,2.99,Female
58.9,,16,167,0.28,Male
68.9,,71,166.6,,Male
7.7,,0,,5,Male
71.3,,17,163.2,0.49,Female
92.3,,75,173,0.74,Male
,7,9,,2.46,Female
116.7,,43,181.9,5,Male
73.5,,33,168.4,2.67,Female
48.9,3,13,152.9,0.8,Female
78.9,,78,160,2.38,Female
71.4,,55,172.7,0.61,Male
56.5,,24,164.1,2.98,Male
74.3,2,14,161.2,1.23,Female
67.9,,46,153.8,5,Female
78.4,,53,174.1,5,Male
93.1,,47,176,4.48,Male
8.3,,0,,4.12,Female
5.1,,0,,0.49,Female
58.6,,47,160.6,0.25,Female
126.3,,22,162.9,0.8,Female
47.4,5,12,151.3,3.52,Male
73.2,,44,154.7,3.7,Female
68.4,,28,166.5,1.65,Female
147,,44,167.9,1.51,Female
67,,72,149.4,4.06,Female
129.3,,49,179.4,1.24,Male
120.1,,27,180,0.57,Male
60.9,,40,169,5,Male
37.2,7,11,142.1,,Male
95.8,,21,164.9,2.01,Female
25.1,5,9,124.8,0.95,Male
109.2,,26,167.5,2.27,Female
49.1,7,10,142.6,2.06,Female
93.1,,63,178.1,5,Male
13.5,7,2,,1.17,Female
77.6,,65,155.3,4.11,Female
74.6,,80,169.5,2.02,Male
48.2,,80,152.1,2.5,Female
32.8,7,8,132.9,0.6,Female
101.2,6,15,177.2,4.44,Male
57.7,5,10,142.1,3.52,Female
57.8,2,15,167,2.67,Male
71.4,,25,176.2,3.07,Male
,,71,,2.82,Female
23.9,7,6,123.2,5,Female
57.5,,55,176.5,5,Male
98.1,,40,180.9,1.11,Male
97.1,,68,178.4,0.35,Male
105.1,,21,178.4,1.76,Male
72.2,,37,159.3,0.16,Female
66.8,,79,151.4,0.65,Female
84.6,5,14,166.7,1.44,Female
61.5,,68,164.9,5,Male
121.9,,41,156.4,2.1,Female
96.8,,60,176.2,5,Female
143.6,,43,182.4,5,Male
91.3,,60,166,,Female
75.3,5,13,160.8,1.87,Male
48.6,,31,157.3,3.57,Female
73.4,,71,171.5,0.75,Male
,0,2,,0.02,Male
78,,54,168.5,4.89,Female
98.1,,48,175.1,5,Male
14.4,,1,,,Female
101.7,5,14,160.5,2.68,Female
137.7,,26,173.6,1.85,Male
85,,45,159.8,0.87,Female
,,27,,3.42,Female
60.1,,62,153.9,2.26,Female
33.9,4,9,132.5,4.22,Female
55.4,,68,160.8,3.26,Female
119.6,,32,178.2,1.43,Male
69.2,,24,177.6,2.39,Male
59,2,14,173.4,1.42,Male
70.4,,53,167.5,5,Male
71.6,,73,161.4,,Male
68.9,,41,169,5,Female
27.1,7,7,128.6,,Female
110.1,,27,192.9,5,Male
82.2,,54,169.7,3.55,Male
,7,2,,4.96,Male
81.5,,29,162.5,1.47,Female
158.2,,60,164.1,2.88,Female
49.4,,19,156.2,,Female
17.1,6,4,105.9,4.12,Male
96.2,,18,168.2,1.23,Female
136.2,,44,174.6,0.35,Male
14.4,7,2,91,0,Male
60.3,,61,161.3,5,Female
51.1,,28,158.5,,Female
63.8,,46,159.3,,Male
,4,2,,,Female
78.4,,51,171.1,,Male
89.7,,41,163.4,3.11,Female
44.6,,25,150.8,1.55,Female
46.4,7,10,147.3,0.12,Male
100.2,,36,186.5,3.37,Male
78.8,,66,178.3,5,Male
82.8,,23,161.2,2.36,Female
73.4,,36,161.2,1.48,Male
,,62,,2.58,Male
60.8,,71,161.1,5,Female
63.9,,75,181.8,1.97,Male
4.4,,0,,0.65,Female
,,58,,1.76,Female
36.4,7,10,139.3,1.22,Female
90.4,,45,165,5,Female
50.7,,72,151.6,5,Female
4.9,,0,,5,Male
120.4,1,11,167.4,,Male
70.5,,79,157.1,,Female
95.9,,55,171.9,2.74,Female
29.7,7,8,132.5,5,Male
12,,1,,0.68,Female
